,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,St. Anger,Metallica,3fOc9x06lKJBhz435mInlH,0.249,0.949,2,-2.642,0,0.0678,0.00131,0.0228,0.0953,0.498,185.252,audio_features,3fOc9x06lKJBhz435mInlH,spotify:track:3fOc9x06lKJBhz435mInlH,https://api.spotify.com/v1/tracks/3fOc9x06lKJBhz435mInlH,https://api.spotify.com/v1/audio-analysis/3fOc9x06lKJBhz435mInlH,441133,4
0,All Nightmare Long,Metallica,5w3TTTAo6DIEjQYO3vKZq0,0.271,0.985,9,-0.805,1,0.123,0.000568,0.00112,0.0809,0.354,182.981,audio_features,5w3TTTAo6DIEjQYO3vKZq0,spotify:track:5w3TTTAo6DIEjQYO3vKZq0,https://api.spotify.com/v1/tracks/5w3TTTAo6DIEjQYO3vKZq0,https://api.spotify.com/v1/audio-analysis/5w3TTTAo6DIEjQYO3vKZq0,477013,4
0,The Thing That Should Not Be (Remastered),Metallica,0Zo0GJhGcT2qKFb5NxY3Vf,0.679,0.716,9,-10.14,1,0.0313,0.000108,0.349,0.126,0.485,111.827,audio_features,0Zo0GJhGcT2qKFb5NxY3Vf,spotify:track:0Zo0GJhGcT2qKFb5NxY3Vf,https://api.spotify.com/v1/tracks/0Zo0GJhGcT2qKFb5NxY3Vf,https://api.spotify.com/v1/audio-analysis/0Zo0GJhGcT2qKFb5NxY3Vf,396107,4
0,For Whom The Bell Tolls (Remastered),Metallica,17rf2oZYDVymJeYI9ftDXc,0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,audio_features,17rf2oZYDVymJeYI9ftDXc,spotify:track:17rf2oZYDVymJeYI9ftDXc,https://api.spotify.com/v1/tracks/17rf2oZYDVymJeYI9ftDXc,https://api.spotify.com/v1/audio-analysis/17rf2oZYDVymJeYI9ftDXc,309973,4
0,The Unforgiven III,Metallica,6guXhXMAHU4QYaEsobnS6v,0.298,0.766,4,-3.485,0,0.0347,0.00203,3.84e-06,0.117,0.0923,121.555,audio_features,6guXhXMAHU4QYaEsobnS6v,spotify:track:6guXhXMAHU4QYaEsobnS6v,https://api.spotify.com/v1/tracks/6guXhXMAHU4QYaEsobnS6v,https://api.spotify.com/v1/audio-analysis/6guXhXMAHU4QYaEsobnS6v,466587,4
0,Moth Into Flame,Metallica,5sEcwMeC3QDnSOWlyQyQ3E,0.169,0.978,4,-3.37,0,0.0657,3.28e-05,0.00395,0.0567,0.38,179.035,audio_features,5sEcwMeC3QDnSOWlyQyQ3E,spotify:track:5sEcwMeC3QDnSOWlyQyQ3E,https://api.spotify.com/v1/tracks/5sEcwMeC3QDnSOWlyQyQ3E,https://api.spotify.com/v1/audio-analysis/5sEcwMeC3QDnSOWlyQyQ3E,350644,4
0,Holier Than Thou (Remastered),Metallica,5VJ05rDJ2O4cECGNbWPi64,0.458,0.97,4,-5.915,0,0.0408,0.00178,0.272,0.0826,0.342,172.123,audio_features,5VJ05rDJ2O4cECGNbWPi64,spotify:track:5VJ05rDJ2O4cECGNbWPi64,https://api.spotify.com/v1/tracks/5VJ05rDJ2O4cECGNbWPi64,https://api.spotify.com/v1/audio-analysis/5VJ05rDJ2O4cECGNbWPi64,227573,4
0,Of Wolf and Man (Remastered),Metallica,55bio2ZtgCnUWsbANOEETT,0.605,0.792,5,-6.87,1,0.0366,0.000988,0.0382,0.0852,0.47,121.768,audio_features,55bio2ZtgCnUWsbANOEETT,spotify:track:55bio2ZtgCnUWsbANOEETT,https://api.spotify.com/v1/tracks/55bio2ZtgCnUWsbANOEETT,https://api.spotify.com/v1/audio-analysis/55bio2ZtgCnUWsbANOEETT,256573,4
0,Hero Of The Day,Metallica,5ktyEZbrgBEePsu6MW5Cvw,0.351,0.9,8,-7.146,1,0.0357,0.000107,0.0262,0.11,0.777,116.023,audio_features,5ktyEZbrgBEePsu6MW5Cvw,spotify:track:5ktyEZbrgBEePsu6MW5Cvw,https://api.spotify.com/v1/tracks/5ktyEZbrgBEePsu6MW5Cvw,https://api.spotify.com/v1/audio-analysis/5ktyEZbrgBEePsu6MW5Cvw,261693,4
0,Motorbreath (Remastered),Metallica,1QQgmN383kUqjioRoTSfF3,0.289,0.938,1,-6.083,1,0.163,0.000116,0.0615,0.106,0.349,173.882,audio_features,1QQgmN383kUqjioRoTSfF3,spotify:track:1QQgmN383kUqjioRoTSfF3,https://api.spotify.com/v1/tracks/1QQgmN383kUqjioRoTSfF3,https://api.spotify.com/v1/audio-analysis/1QQgmN383kUqjioRoTSfF3,187840,4
0,I Disappear,Metallica,51Vic2Yi71YKNtLbyJKgQt,0.534,0.929,1,-3.609,1,0.047,0.000206,5.58e-05,0.036,0.447,122.733,audio_features,51Vic2Yi71YKNtLbyJKgQt,spotify:track:51Vic2Yi71YKNtLbyJKgQt,https://api.spotify.com/v1/tracks/51Vic2Yi71YKNtLbyJKgQt,https://api.spotify.com/v1/audio-analysis/51Vic2Yi71YKNtLbyJKgQt,266240,4
0,Disposable Heroes (Remastered),Metallica,2a2le1M7cmvdrg1QHH7H53,0.264,0.931,4,-7.615,0,0.0928,4.75e-05,0.454,0.0897,0.414,90.246,audio_features,2a2le1M7cmvdrg1QHH7H53,spotify:track:2a2le1M7cmvdrg1QHH7H53,https://api.spotify.com/v1/tracks/2a2le1M7cmvdrg1QHH7H53,https://api.spotify.com/v1/audio-analysis/2a2le1M7cmvdrg1QHH7H53,496627,4
0,Trapped Under Ice (Remastered),Metallica,3lVAAVOkfNyCii1aLgH3JX,0.242,0.989,9,-5.298,1,0.204,8.16e-05,0.0531,0.0528,0.054,162.98,audio_features,3lVAAVOkfNyCii1aLgH3JX,spotify:track:3lVAAVOkfNyCii1aLgH3JX,https://api.spotify.com/v1/tracks/3lVAAVOkfNyCii1aLgH3JX,https://api.spotify.com/v1/audio-analysis/3lVAAVOkfNyCii1aLgH3JX,244067,4
0,Through the Never (Remastered),Metallica,0Nl9491E3l4mDUBlHhuWpD,0.384,0.95,4,-5.943,0,0.0546,0.0109,0.351,0.139,0.482,94.266,audio_features,0Nl9491E3l4mDUBlHhuWpD,spotify:track:0Nl9491E3l4mDUBlHhuWpD,https://api.spotify.com/v1/tracks/0Nl9491E3l4mDUBlHhuWpD,https://api.spotify.com/v1/audio-analysis/0Nl9491E3l4mDUBlHhuWpD,244533,4
0,No Leaf Clover - Live with the SFSO,Metallica,0n4AllHzf3ma4ki20Y9h00,0.246,0.952,3,-5.045,0,0.114,0.000558,0.00193,0.959,0.387,151.374,audio_features,0n4AllHzf3ma4ki20Y9h00,spotify:track:0n4AllHzf3ma4ki20Y9h00,https://api.spotify.com/v1/tracks/0n4AllHzf3ma4ki20Y9h00,https://api.spotify.com/v1/audio-analysis/0n4AllHzf3ma4ki20Y9h00,343200,4
0,Ride The Lightning (Remastered),Metallica,6yUCeySJMRaSAEsnfqDeZK,0.265,0.973,9,-6.129,1,0.173,5.15e-05,0.0942,0.205,0.27,148.506,audio_features,6yUCeySJMRaSAEsnfqDeZK,spotify:track:6yUCeySJMRaSAEsnfqDeZK,https://api.spotify.com/v1/tracks/6yUCeySJMRaSAEsnfqDeZK,https://api.spotify.com/v1/audio-analysis/6yUCeySJMRaSAEsnfqDeZK,396987,4
0,"Die, Die My Darling",Metallica,0EJ3N6BhFDrUc26xBEpztv,0.449,0.975,10,-2.789,0,0.0582,0.00045,0.0,0.14,0.785,178.069,audio_features,0EJ3N6BhFDrUc26xBEpztv,spotify:track:0EJ3N6BhFDrUc26xBEpztv,https://api.spotify.com/v1/tracks/0EJ3N6BhFDrUc26xBEpztv,https://api.spotify.com/v1/audio-analysis/0EJ3N6BhFDrUc26xBEpztv,149333,3
