,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Villanova Junction Blues,Jimi Hendrix,0ME8AQSwfAtSa6ZQpgjROg,0.687,0.497,10,-10.257,0,0.0331,0.643,0.853,0.171,0.653,81.183,audio_features,0ME8AQSwfAtSa6ZQpgjROg,spotify:track:0ME8AQSwfAtSa6ZQpgjROg,https://api.spotify.com/v1/tracks/0ME8AQSwfAtSa6ZQpgjROg,https://api.spotify.com/v1/audio-analysis/0ME8AQSwfAtSa6ZQpgjROg,104973,4
0,"Hear My Train a Comin' - Live at the Fillmore East, NY - 12/31/69 - 1st Set",Jimi Hendrix,31IBEyetPODiw6Gc33jsxV,0.4,0.661,1,-7.866,1,0.0484,0.279,0.259,0.256,0.746,80.654,audio_features,31IBEyetPODiw6Gc33jsxV,spotify:track:31IBEyetPODiw6Gc33jsxV,https://api.spotify.com/v1/tracks/31IBEyetPODiw6Gc33jsxV,https://api.spotify.com/v1/audio-analysis/31IBEyetPODiw6Gc33jsxV,546400,4
0,"Red House - Live at the Los Angeles Forum, Inglewood, CA - April 26, 1969",Jimi Hendrix,3fI4b4wKjcbd2pqq0ANm0F,0.412,0.55,10,-11.7,0,0.0958,0.0254,0.0168,0.812,0.518,138.972,audio_features,3fI4b4wKjcbd2pqq0ANm0F,spotify:track:3fI4b4wKjcbd2pqq0ANm0F,https://api.spotify.com/v1/tracks/3fI4b4wKjcbd2pqq0ANm0F,https://api.spotify.com/v1/audio-analysis/3fI4b4wKjcbd2pqq0ANm0F,669520,3
0,Night Bird Flying,Jimi Hendrix,6qKlw6TyxVkaUZrlJYP8xD,0.354,0.707,8,-10.844,1,0.0353,0.24,0.586,0.652,0.744,105.965,audio_features,6qKlw6TyxVkaUZrlJYP8xD,spotify:track:6qKlw6TyxVkaUZrlJYP8xD,https://api.spotify.com/v1/tracks/6qKlw6TyxVkaUZrlJYP8xD,https://api.spotify.com/v1/audio-analysis/6qKlw6TyxVkaUZrlJYP8xD,232507,4
0,Jam 292,Jimi Hendrix,0Vck4lRQnl859KuSDrLczH,0.419,0.868,5,-9.182,0,0.0632,0.14,0.89,0.316,0.586,109.442,audio_features,0Vck4lRQnl859KuSDrLczH,spotify:track:0Vck4lRQnl859KuSDrLczH,https://api.spotify.com/v1/tracks/0Vck4lRQnl859KuSDrLczH,https://api.spotify.com/v1/audio-analysis/0Vck4lRQnl859KuSDrLczH,384733,4
0,Killing Floor - BBC Sessions,Jimi Hendrix,6QGuHNrLxYE1EANqiKNRiB,0.363,0.948,6,-5.523,0,0.0724,2.44e-05,0.398,0.0556,0.866,154.162,audio_features,6QGuHNrLxYE1EANqiKNRiB,spotify:track:6QGuHNrLxYE1EANqiKNRiB,https://api.spotify.com/v1/tracks/6QGuHNrLxYE1EANqiKNRiB,https://api.spotify.com/v1/audio-analysis/6QGuHNrLxYE1EANqiKNRiB,148427,4
0,The Star Spangled Banner - Woodstock Festival Excerpt,Jimi Hendrix,57im5UyAqXFTO6IfbjDOnx,0.166,0.909,8,-19.812,0,0.109,0.219,0.981,0.812,0.0357,113.021,audio_features,57im5UyAqXFTO6IfbjDOnx,spotify:track:57im5UyAqXFTO6IfbjDOnx,https://api.spotify.com/v1/tracks/57im5UyAqXFTO6IfbjDOnx,https://api.spotify.com/v1/audio-analysis/57im5UyAqXFTO6IfbjDOnx,42907,4
0,May This Be Love,Jimi Hendrix,3hVcpeEgubInQ5oUJDTC8b,0.503,0.545,8,-12.677,1,0.0591,0.45,0.0107,0.0855,0.557,95.609,audio_features,3hVcpeEgubInQ5oUJDTC8b,spotify:track:3hVcpeEgubInQ5oUJDTC8b,https://api.spotify.com/v1/tracks/3hVcpeEgubInQ5oUJDTC8b,https://api.spotify.com/v1/audio-analysis/3hVcpeEgubInQ5oUJDTC8b,189627,4
0,"Hey Baby (New Rising Sun) - Live In Maui, 1970",Jimi Hendrix,3nk12u4uEu3u1PBkVZxEKC,0.451,0.591,8,-10.655,0,0.147,0.119,0.833,0.0615,0.842,175.763,audio_features,3nk12u4uEu3u1PBkVZxEKC,spotify:track:3nk12u4uEu3u1PBkVZxEKC,https://api.spotify.com/v1/tracks/3nk12u4uEu3u1PBkVZxEKC,https://api.spotify.com/v1/audio-analysis/3nk12u4uEu3u1PBkVZxEKC,273027,4
0,In From the Storm,Jimi Hendrix,48qby6VFvlI0aBXliBXcVr,0.334,0.736,3,-10.831,1,0.0654,0.259,0.002,0.349,0.802,145.893,audio_features,48qby6VFvlI0aBXliBXcVr,spotify:track:48qby6VFvlI0aBXliBXcVr,https://api.spotify.com/v1/tracks/48qby6VFvlI0aBXliBXcVr,https://api.spotify.com/v1/audio-analysis/48qby6VFvlI0aBXliBXcVr,223320,4
0,$20 Fine,Jimi Hendrix,7pse475uICmWRY5hEkvPvI,0.569,0.887,0,-8.972,1,0.0397,0.0896,0.431,0.345,0.738,120.949,audio_features,7pse475uICmWRY5hEkvPvI,spotify:track:7pse475uICmWRY5hEkvPvI,https://api.spotify.com/v1/tracks/7pse475uICmWRY5hEkvPvI,https://api.spotify.com/v1/audio-analysis/7pse475uICmWRY5hEkvPvI,299080,4
0,"Changes - Live at the Fillmore East, NY - 12/31/69 - 1st Set",Jimi Hendrix,49csN8oPVktbxBzrDxCugk,0.541,0.629,8,-9.878,1,0.0547,0.625,8.47e-05,0.221,0.675,119.111,audio_features,49csN8oPVktbxBzrDxCugk,spotify:track:49csN8oPVktbxBzrDxCugk,https://api.spotify.com/v1/tracks/49csN8oPVktbxBzrDxCugk,https://api.spotify.com/v1/audio-analysis/49csN8oPVktbxBzrDxCugk,357813,4
0,Woodstock,Jimi Hendrix,36MxthZNeNmBEGZLC5TZYN,0.542,0.705,0,-9.124,1,0.0335,0.0214,0.019,0.264,0.894,124.066,audio_features,36MxthZNeNmBEGZLC5TZYN,spotify:track:36MxthZNeNmBEGZLC5TZYN,https://api.spotify.com/v1/tracks/36MxthZNeNmBEGZLC5TZYN,https://api.spotify.com/v1/audio-analysis/36MxthZNeNmBEGZLC5TZYN,319000,4
0,Tax Free,Jimi Hendrix,0M20QgasBjsz0XLgkkOo0C,0.284,0.902,1,-8.721,1,0.0998,0.00131,0.559,0.134,0.308,81.161,audio_features,0M20QgasBjsz0XLgkkOo0C,spotify:track:0M20QgasBjsz0XLgkkOo0C,https://api.spotify.com/v1/tracks/0M20QgasBjsz0XLgkkOo0C,https://api.spotify.com/v1/audio-analysis/0M20QgasBjsz0XLgkkOo0C,500813,4
0,Cherokee Mist,Jimi Hendrix,48F4GPGfHMgo288Hz4RrWX,0.442,0.301,8,-13.473,1,0.048,0.329,0.746,0.102,0.161,108.586,audio_features,48F4GPGfHMgo288Hz4RrWX,spotify:track:48F4GPGfHMgo288Hz4RrWX,https://api.spotify.com/v1/tracks/48F4GPGfHMgo288Hz4RrWX,https://api.spotify.com/v1/audio-analysis/48F4GPGfHMgo288Hz4RrWX,421000,4
0,Danger Zone,Rayvon,0WLMqgunEbzoLixTlgVdvI,0.731,0.568,7,-4.209,0,0.0462,0.145,0.0,0.0502,0.75,165.429,audio_features,0WLMqgunEbzoLixTlgVdvI,spotify:track:0WLMqgunEbzoLixTlgVdvI,https://api.spotify.com/v1/tracks/0WLMqgunEbzoLixTlgVdvI,https://api.spotify.com/v1/audio-analysis/0WLMqgunEbzoLixTlgVdvI,233107,4
0,Can't Help Myself,Rayvon,1CnwLrjcq11HE9jQxrypDW,0.686,0.399,1,-11.883,1,0.0516,0.106,0.0,0.0716,0.659,140.033,audio_features,1CnwLrjcq11HE9jQxrypDW,spotify:track:1CnwLrjcq11HE9jQxrypDW,https://api.spotify.com/v1/tracks/1CnwLrjcq11HE9jQxrypDW,https://api.spotify.com/v1/audio-analysis/1CnwLrjcq11HE9jQxrypDW,251054,4
0,Back It Up - Original,Rayvon,2yoJEM1QLvcUbgbg98Dneb,0.581,0.786,4,-7.275,0,0.305,0.178,0.0,0.071,0.92,117.983,audio_features,2yoJEM1QLvcUbgbg98Dneb,spotify:track:2yoJEM1QLvcUbgbg98Dneb,https://api.spotify.com/v1/tracks/2yoJEM1QLvcUbgbg98Dneb,https://api.spotify.com/v1/audio-analysis/2yoJEM1QLvcUbgbg98Dneb,216040,4
0,Trouble Again,Rayvon,5RcBnhzYToFGZOj3LXm1wT,0.531,0.731,1,-7.719,0,0.301,0.0332,0.0,0.342,0.753,91.694,audio_features,5RcBnhzYToFGZOj3LXm1wT,spotify:track:5RcBnhzYToFGZOj3LXm1wT,https://api.spotify.com/v1/tracks/5RcBnhzYToFGZOj3LXm1wT,https://api.spotify.com/v1/audio-analysis/5RcBnhzYToFGZOj3LXm1wT,226175,4
0,Riding Skill,Rayvon,59icdJLXns3ww2Mk8Ftgzc,0.473,0.778,10,-5.698,0,0.359,0.0669,0.0,0.153,0.735,96.916,audio_features,59icdJLXns3ww2Mk8Ftgzc,spotify:track:59icdJLXns3ww2Mk8Ftgzc,https://api.spotify.com/v1/tracks/59icdJLXns3ww2Mk8Ftgzc,https://api.spotify.com/v1/audio-analysis/59icdJLXns3ww2Mk8Ftgzc,206133,4
0,Nice & Easy,Rayvon,52EvUrMFYOrMHhrCeJJF18,0.823,0.612,3,-6.589,0,0.0467,0.0057,0.00455,0.104,0.858,101.003,audio_features,52EvUrMFYOrMHhrCeJJF18,spotify:track:52EvUrMFYOrMHhrCeJJF18,https://api.spotify.com/v1/tracks/52EvUrMFYOrMHhrCeJJF18,https://api.spotify.com/v1/audio-analysis/52EvUrMFYOrMHhrCeJJF18,208467,4
